CustomerID,Customer Name,Phone,City,RegionCode,Country,Segment,Annual Spend (NGN),Clean Date,Email Clean
C0524,Modupe Abubakar,0814 1922425,Wudil,R10,Nigeria,Retail,3264340,03-11-21,modupe.abubakar@company.ng
C0125,Fatima Okonkwu,08107192980,Biu,R12,Nigeria,SME,2998747,27-11-20,fatima.okonkwu@company.ng
C1137,Ezinne Adeyemi,08191184408,Lagos,R01,Nigeria,Wholesale,909138,28-06-21,e.adeyemi@outlook.com
C0994,Abuja Onuoha Ltd,Unknown,Surulere,R01,Nigeria,Corporate,4091744,04-04-22,maryam.onuoha@company.ng
C0685,Adeola Anozie,08059841787,Abuja,R08,Nigeria,Wholesale,4772182,17-11-22,adeola47@yahoo.com
C0015,Nnamdi Ibrahim,08133258447,Oji River,R04,Nigeria,Wholesale,3215266,26-12-18,nnamdi.ibrahim@company.ng
C0807,Pronigeria Ezeani Enterprises,08131451653,Eleme,R06,Nigeria,Corporate,3990691,06-02-18,abdullahi54@yahoo.com
C0650,Chibuzor Obi,08151229037,Port Harcourt,R06,Nigeria,Wholesale,4671128,14-12-18,c.obi@outlook.com
C0668,Ramat Funtua,08197303710,Agbor,R07,Nigeria,SME,94182,06-02-19,ramat28@yahoo.com
C1072,Hauwa Nwankwo,0807 7562989,Nsukka,R04,Nigeria,Wholesale,1509267,21-04-22,h.nwankwo@outlook.com
C0203,Tochukwu Onuoha,08112849262,Onitsha,R05,Nigeria,Retail,1939553,19-07-21,tochukwu63@yahoo.com
C0712,Unity Tukur & Associates,08101797934,Warri,R07,Nigeria,Corporate,4605373,03-06-23,safiya.tukur@company.ng
C0477,Fatima Yusuf,08017954079,Ijebu-Ode,R02,Nigeria,Wholesale,1658791,12-08-20,Invalid Email
C0457,Somtochukwu Babangida,08036270395,Kabba,R09,Nigeria,Wholesale,3901358,08-06-22,somtochukwu.babangida@company.ng
C0553,Khadijah Kankara,0816 9860264,Osogbo,R03,Nigeria,Retail,1612899,25-05-21,k.kankara@outlook.com
C0236,Obinna Lawal,0801 8595100,Sapele,R07,Nigeria,Wholesale,628745,26-10-22,obinna.lawal@gmail.com
C0061,Hauwa Ugwu,08139579589,Surulere,R01,Nigeria,Retail,600864,19-03-18,hauwa.ugwu@gmail.com
C0530,Modupe Eze,08097760532,Ijebu-Ode,R02,Nigeria,Wholesale,197490,01-04-22,m.eze@outlook.com
C0545,Yahaya Okeke,08106958632,Ibadan,R03,Nigeria,Retail,1221117,09-05-21,yahaya.okeke@gmail.com
C1047,Greenfield Chukwu Integrated Services,08112352758,Zaria,R11,Nigeria,Corporate,3252707,08-06-21,Invalid Email
C0888,Blessing Nzeka,0809 9807784,Surulere,R01,Nigeria,SME,4648870,07-01-23,blessing7@yahoo.com
C0673,Damilola Okafor,08105642055,Ikeja,R01,Nigeria,Retail,138015,24-05-21,damilola85@yahoo.com
C0003,Lawal Danladi,08174172382,Ibadan,R03,Nigeria,Retail,658025,12-10-20,lawal.danladi@company.ng
C0698,Nkechi Obiechina,08095268520,Ekwulobia,R05,Nigeria,Retail,1706005,15-07-22,n.obiechina@outlook.com
C0959,Adeola Musa,08066272033,Eleme,R06,Nigeria,Unknown Segment,2503841,17-06-21,adeola.musa@gmail.com
C0946,Obinna Abdullahi,0817 6271862,Lekki,R01,Nigeria,Retail,2672022,08-10-22,obinna.abdullahi@company.ng
C0832,Kano Aliyu Enterprises,08159843510,Nsukka,R04,Nigeria,Corporate,193986,21-02-20,u.aliyu@outlook.com
C1152,Sunrise Makarfi & Sons,08138178368,Ogbomoso,R03,Nigeria,Corporate,2805264,05-02-22,amina34@yahoo.com
C0333,Olamide Kankara,08011885974,Surulere,R01,Nigeria,SME,3412152,17-01-18,olamide.kankara@gmail.com
